Common Name,Latin Name,DBH,Latitude,Longitude,Primary ID
Maidenhair Tree,Ginkgo biloba,29,38.036468139,-84.50609293,6063
Willow Oak,Quercus phellos,23,38.035979712,-84.50557387,6061
Maidenhair Tree,Ginkgo biloba,47,38.036108095,-84.50573505,6056
Willow Oak,Quercus phellos,20,38.036193444,-84.50582156,6055
Willow Oak,Quercus phellos,21,38.036105943,-84.50613026,6053
Eastern Hemlock,Tsuga canadensis,18,38.035172843,-84.50485261,6049
Bur Oak,Quercus macrocarpa,39,38.037293169,-84.50364633,6039
Red Oak,Quercus rubra,38,38.037298772,-84.50378228,6037
Red Oak,Quercus rubra,32,38.038208494,-84.50226716,6029
Red Oak,Quercus rubra,24,38.038438260,-84.50195274,6028
Red Oak,Quercus rubra,31,38.038512296,-84.50186522,6027
Maidenhair Tree,Ginkgo biloba,41,38.038514515,-84.50518519,6018
Sugar Maple,Acer saccharum,18,38.038617227,-84.50521364,6016
Bur Oak,Quercus macrocarpa,53,38.038272360,-84.50512433,6006
Eastern Redbud,Cercis canadensis,17,38.038362550,-84.50553872,5975
Little-Leaf Linden,Tilia cordata,19,38.037345987,-84.50612371,5972
Willow Oak,Quercus phellos,24,38.036345340,-84.50575151,5969
Willow Oak,Quercus phellos,27,38.036278658,-84.50566806,5968
Willow Oak,Quercus phellos,18,38.036098617,-84.50546729,5963
Willow Oak,Quercus phellos,25,38.036046224,-84.50540802,5962
Chinese Elm,Ulmus parvifolia,20,38.037642274,-84.50374987,5953
Red Oak,Quercus rubra,26,38.038592715,-84.50177446,5939
Red Oak,Quercus rubra,19,38.038601650,-84.50159132,5897
Willow Oak,Quercus phellos,22,38.036099260,-84.50546707,5854
Red Oak,Quercus rubra,23,38.037809630,-84.50206672,5834
Red Oak,Quercus rubra,18,38.037612415,-84.50144522,5825
White Oak,Quercus alba,38,38.036255560,-84.50269277,5777
Norway Spruce,Picea abies,20,38.036335850,-84.50229386,5773
Red Oak,Quercus rubra,27,38.038532720,-84.50169018,5768
Shagbark Hickory,Carya ovata,31,38.035946128,-84.50303792,5762
Tulip Tree,Liriodendron tulipifera,40,38.036028375,-84.50301443,5761
Norway Spruce,Picea abies,18,38.036681613,-84.50276021,5751
Sugar Maple,Acer saccharum,19,38.036582458,-84.50237861,5746
Crabapple,Malus floribunda,18,38.036962624,-84.50146196,5631
Red Oak,Quercus rubra,31,38.035658174,-84.50307267,5585
Common Hackberry,Celtis occidentalis,24,38.037338180,-84.50127394,4810
European Beech,Fagus sylvatica,21,38.037324464,-84.50619203,4732
Red Oak,Quercus rubra,28,38.039073410,-84.5017231,4646
English Yew,Taxus baccata,29,38.037875331,-84.50285224,4640
Red Oak,Quercus rubra,27,38.038140840,-84.50235306,4635
Red Oak,Quercus rubra,18,38.038296571,-84.50198515,4634
Red Oak,Quercus rubra,27,38.038223812,-84.50208888,4633
Red Oak,Quercus rubra,19,38.032309308,-84.50196536,4596
Red Oak,Quercus rubra,20,38.032257689,-84.50204026,4595
Red Oak,Quercus rubra,17,38.032205333,-84.50211047,4594
Black Walnut,Juglans nigra,27,38.035748406,-84.50287927,4558
Red Oak,Quercus rubra,39,38.038794480,-84.50749121,4409
Sawleaf Zelkova,Zelkova serrata,25,38.039056420,-84.50742014,4407
Sawleaf Zelkova,Zelkova serrata,46,38.040723801,-84.5066204,4403
American Sycamore,Platanus occidentalis,37,38.040775580,-84.50647186,4402
American Sycamore,Platanus occidentalis,56,38.040506138,-84.50656683,4401
Pin Oak,Quercus palustris,33,38.040381530,-84.50660439,4397
American Sycamore,Platanus occidentalis,44,38.039965334,-84.50679693,4392
Norway Spruce,Picea abies,18,38.040141767,-84.5071354,4391
Willow Oak,Quercus phellos,30,38.037331256,-84.50771782,4320
Sugar Maple,Acer saccharum,25,38.040302682,-84.50633629,4262
Goldenrain Tree,Koelreuteria paniculata,17,38.040002984,-84.50624682,4261
American Beech,Fagus grandifolia,34,38.040300006,-84.50580174,4260
Black Walnut,Juglans nigra,24,38.036931308,-84.50589872,4250
Eastern Hemlock,Tsuga canadensis,18,38.035757200,-84.5022862,4164
Norway Spruce,Picea abies,21,38.038847863,-84.50345049,4126
Winter King' Hawthorn,Crataegus viridis 'Winter King',22,38.036817758,-84.50101254,4079
Black Walnut,Juglans nigra,32,38.036398378,-84.50135513,4072
Common Hackberry,Celtis occidentalis,20,38.036308172,-84.5013702,4071
Southern Magnolia,Magnolia grandiflora,26,38.035152333,-84.50121941,4068
Aristocrat Pear,Pyrus calleryana 'Aristocrat',18,38.035105196,-84.50146221,4065
Aristocrat Pear,Pyrus calleryana 'Aristocrat',19,38.035140055,-84.50141837,4064
Sugar Maple,Acer saccharum,34,38.035127442,-84.50181557,4060
Black Walnut,Juglans nigra,32,38.034922501,-84.50102343,4057
